Name1,Latitude1,Longitude1,Receiver.Range
SMN.Recherche.21,-34.17273,122.2431,S
SMN.Recherche.22,-34.1792,122.24515,S
SMN.Recherche.23,-34.18593,122.24554,S
SMN.Hamelin.01,-34.254744,115.019794,S
SMN.Hamelin.02,-34.255855,115.011212,S
SMN.Hamelin.03,-34.256965,115.002631,S
SMN.Hamelin.04,-34.258074,114.994048,S
SMN.Hamelin.05,-34.259183,114.985466,S
SMN.Hamelin.06,-34.260292,114.976884,S
SMN.Hamelin.07,-34.2614,114.968301,S
SMN.Hamelin.08,-34.262507,114.959718,S
SMN.Hamelin.09,-34.263613,114.951135,S
SMN.Hamelin.10,-34.264719,114.942551,S
SMN.Hamelin.11,-34.265825,114.933968,S
SMN.Hamelin.12,-34.26693,114.925384,S
SMN.Hamelin.13,-34.268034,114.9168,S
SMN.Hamelin.14,-34.269137,114.908216,S
SMN.Hamelin.15,-34.27024,114.899632,S
SMN.Hamelin.16,-34.271342,114.891048,S
SMN.Hamelin.17,-34.272444,114.882463,S
SMN.Hamelin.18,-34.273545,114.873878,S
SMN.Hamelin.19,-34.274646,114.865293,S
SMN.Hamelin.20,-34.275746,114.856708,S
SMN.Hamelin.21,-34.276845,114.848122,S
SMN.Hamelin.22,-34.277944,114.839537,S
SMN.Hamelin.23,-34.279042,114.830951,S
SMN.Hamelin.24,-34.280139,114.822365,S
SMN.Hamelin.25,-34.281236,114.813779,S
SMN.Hamelin.26,-34.282332,114.805192,S
SMN.Hamelin.27,-34.283428,114.796606,S
SMN.Hamelin.28,-34.284523,114.788019,S
SMN.Hamelin.29,-34.285617,114.779432,S
SMN.Hamelin.30,-34.286711,114.770845,S
SMN.Hamelin.31,-34.287804,114.762257,S
SMN.Hamelin.32,-34.288896,114.75367,S
SMN.Hamelin.33,-34.289988,114.745082,S
SMN.Hamelin.34,-34.29108,114.736494,S
SMN.Hamelin.35,-34.29217,114.727906,S
SMN.Hamelin.36,-34.29326,114.719318,S
SMN.Hamelin.37,-34.29435,114.710729,S
SMN.Hamelin.38,-34.295439,114.702141,S
SMN.Hamelin.39,-34.296527,114.693552,S
